dia,mes,consumo_kWh
1,antes,30.0
2,antes,28.0
3,antes,33.0
4,antes,29.0
5,antes,27.0
6,antes,31.0
7,antes,26.0
8,antes,32.0
9,antes,29.0
10,antes,34.0
11,antes,28.0
12,antes,30.0
13,antes,25.0
14,antes,27.0
15,antes,31.0
16,antes,29.0
17,antes,33.0
18,antes,26.0
19,antes,28.0
20,antes,30.0
21,antes,27.0
22,antes,32.0
23,antes,29.0
24,antes,31.0
25,antes,26.0
26,antes,24.0
27,antes,30.0
28,antes,33.0
29,antes,28.0
30,antes,27.0
1,depois,10.5
2,depois,12.6
3,depois,19.8
4,depois,8.7
5,depois,10.8
6,depois,15.5
7,depois,5.2
8,depois,17.6
9,depois,11.0
10,depois,23.8
11,depois,11.8
12,depois,10.2
13,depois,13.3
14,depois,12.7
15,depois,12.1
16,depois,11.9
17,depois,21.5
18,depois,6.5
19,depois,14.3
20,depois,9.6
21,depois,11.6
22,depois,17.9
23,depois,10.7
24,depois,14.9
25,depois,7.3
26,depois,14.9
27,depois,13.2
28,depois,13.2
29,depois,12.9
30,depois,8.4
